synonym,line_name,line_name_one,family,new_fam,NAM_name,diff_sort,man_sort,man_sort_reverse,Pop_location,color,N,fam_variance,fam_mean,fam_median,Proportion disimiliar,dis_sort,Population,Pop_location,pop_dis_sort,Ppd_H1,StP_15,StP_14_Al,StP_15_Al,Cr_16_1,Cr_16_2,Cr_16,StP_16_1,StP_16_2,StP_16,Mean,Mean_round,Mean_StP,Mean_weighted,parent_diff,Mean_inCralso,sum_pos,sum_neg,sum_all,sum_pos_im,sum_neg_im,sum_all_im,var_all_im,2H1_27204805,7H2_320469033,7H1_39192808
PI387098,PI387098,PI387098,62,58,HR662S,81,17,1,Central European,red,82,6.711021942,55.24764773,54.55138134,0.037,67,4,Central European,22,Ras,67,70,69,36,41,38.5,70,49,59.5,60.8,61,66.38,52.44,8.8,52.44,7.129542944,-0.49864625,6.630896694,-1.409657586,2.342821205,172.89535,0.007085377,1.124719718,1.18428108,1.435419477
PI390281,PI390281,PI390281,63,59,HR663S,74,16,2,Central European,olivedrab3,34,21.66800684,54.04907538,54.76813514,0.026,33,4,Central European,21,Alternative,63,65,65,25,26,25.5,52,53,52.5,54.2,54,61.38,43.44,2.2,43.44,4.824471694,-3.812485035,1.011986659,-4.757394462,4.081328444,28.02213987,0.008860486,-1.204073033,-1.05971833,0
PI328155,PI328155,PI328155,52,48,HR652S,69,15,3,Central European,olivedrab3,55,27.15627551,54.80409292,53.74954572,0.023,26,4,Central European,18,Alternative,61,65,60,23,23,23,50,52,51,52,52,59.25,41.13,0,41.13,10.3808248,-3.986650499,6.394174302,-3.824988893,5.540845347,212.4703471,0.017992011,-1.047968929,0,0
PI190790,PI190790,PI190790,41,40,HR641S,68,14,4,Central European,olivedrab3,74,7.025227764,55.89583073,56.21136282,0.009,2,4,Central European,6,Ras,60,63,63,23,23,23,50,50,50,51.8,52,59,41,-0.2,41,16.09935436,0,16.09935436,-2.060947306,3.197529565,266.1608447,0.014083262,1.678352111,1.084502863,0
PI640376,PI640376,PI640376,91,87,HR691S,66,13,5,Central European,olivedrab3,61,6.387779406,56.55475487,56.25852218,0.017,8,4,Central European,11,Ras,59,65,60,23,23,23,50,50,50,51.4,51,58.5,40.75,-0.6,40.75,2.71507671,-0.746331549,1.968745161,-1.457352288,1.995989543,107.2811248,0.003589326,0.96844244,0,1.006712228
PI69421,PI069421,PI069421,27,26,HR627S,61,12,6,Central European,olivedrab3,59,5.771595705,55.35517812,55.01679733,0.017,7,4,Central European,10,NA,59,61,60,23,23,23,50,48,49,50.4,50,57.25,40.13,-1.6,40.13,14.68578925,-0.19407785,14.4917114,-0.895051192,2.580562293,189.497238,0.006086975,1.189033593,1.073311439,0
CIho15600,CIho15600,CIho15600,20,19,HR620S,56,11,7,Central European,olivedrab3,67,9.565445556,55.01366743,54.37475154,0.015,5,4,Central European,7,Ras,59,59,59,23,23,23,48,49,48.5,49.7,50,56.38,39.69,-2.3,39.69,1.13594861,-0.822536058,0.313412552,-1.572321753,2.067454929,20.61496618,0.002174883,0.498444993,0.081665535,-0.126946485
PI190711,PI190711,PI190711,40,39,HR640S,50,10,8,Central European,olivedrab3,70,6.981814669,54.84083838,54.66715937,0.02,16,4,Central European,14,Ras,58,57,59,19,23,21,48,47,47.5,48.5,49,55.38,38.19,-3.5,38.19,5.146509931,-0.389013227,4.757496704,-1.79793874,1.733644916,132.5648607,0.004451061,1.304511633,0.957862775,0
PI415348,PI415348,PI415348,70,66,HR670S,47,9,9,Central European,olivedrab3,52,17.22505168,53.27823569,52.98858614,0.024,28,4,Central European,19,Alternative,61,56,58,19,20,19.5,48,46,47,48.3,48,55.5,37.5,-3.7,37.5,3.979161012,-7.285335468,-3.306174456,-2.093392697,5.131977688,-46.76837864,0.00693774,-0.725485562,-0.915191211,0
PI467758,PI467758,PI467758,76,72,HR676S,43,8,10,Central European,olivedrab3,78,9.703912011,54.69539812,54.49855112,0.022,22,4,Central European,17,Ras,58,54,59,19,22,20.5,47,47,47,47.7,48,54.5,37.5,-4.3,37.5,5.262277417,-2.804720953,2.457556464,-2.329940675,2.18448468,127.0193546,0.00614776,1.304026515,1.177666788,0
PI434794,PI434794,PI434794,72,68,HR672S,42,7,11,Central European,olivedrab3,78,5.328722356,53.68644561,53.51626722,0.016,6,4,Central European,9,Ras,56,60,58,17,17,17,44,51,47.5,47.7,48,55.38,36.19,-4.3,36.19,3.394784879,-2.132168056,1.262616823,-2.834739049,2.226087718,138.1701703,0.007616205,1.591571557,1.356769369,-0.06038839
PI129482_PI328052,PI129482_PI328052,PI129482,32,31,HR632S,29,6,12,Central European,olivedrab3,129,4.023027287,54.21643872,54.02285939,0.026,30,4,Central European,95,Alternative,56,56,57,23,23,23,46,48,47,46.4,46,53.58,37.67,-5.6,37.67,7.180167764,-2.403062964,4.7771048,-1.271600015,1.956758943,85.03495127,0.005349742,1.222728819,1.057240461,0
PI640286,PI640286,PI640286,90,86,HR690S,27,5,13,Central European,olivedrab3,34,24.10245992,52.86543017,51.9386393,0.02,14,4,Central European,15,Ras,63,NA,NA,22,32,27,48,48,48,46,46,55.5,41.25,-6,41.25,4.37014903,-6.569111079,-2.198962049,-3.062431442,5.334476628,-13.91084839,0.011664493,-1.739556487,-1.521378138,2.21846708
CIho14319,CIho14319,CIho14319,16,16,HR616S,24,4,14,Central European,olivedrab3,76,6.069546691,54.13332295,54.00854064,0.02,13,4,Central European,13,Ras,56,51,59,17,17,17,44,46,45,45.6,46,52.75,34.88,-6.4,34.88,10.54204313,-0.407983591,10.13405954,-2.221175098,2.509855164,107.4927376,0.007377969,1.353578867,0.280837813,-0.737373622
CIho10034,CIho10034,CIho10034,10,10,HR610S,22,3,15,Central European,olivedrab3,70,9.676798641,54.49172581,54.48602243,0.022,20,4,Central European,16,Ras,54,56,57,15,16,15.5,44,47,45.5,45.6,46,53.13,34.31,-6.4,34.31,4.382628398,-1.173485907,3.209142491,-1.820288754,2.026805406,78.86184728,0.005069591,1.229725115,0.354488966,0
PI640226,PI640226,PI640226,88,84,HR688S,15,2,16,Central European,olivedrab3,46,14.70935577,51.23055771,49.38425381,0.018,9,4,Central European,12,Ras,54,51,55,16,16,16,44,43,43.5,43.9,44,50.88,33.44,-8.1,33.44,2.270693177,-6.503504207,-4.23281103,-1.860723876,2.258569787,-78.72444366,0.003950563,-0.991989136,-1.609470138,0
PI402164,PI402164,PI402164,67,63,HR667S,10,1,17,Central European,olivedrab3,64,2.787396906,52.2022139,51.8680622,0.015,3,4,Central European,8,Ras,54,49,55,14,15,14.5,42,42,42,42.9,43,50,32.25,-9.1,32.25,0.187576689,-1.538184152,-1.350607463,-0.678816612,0.603638667,-32.38327602,0.00049032,0,0,0.073099815
PI157884,PI157884,PI157884,34,33,HR634S,86,36,18,Coastal Mediterranean,turquoise,48,23.66568822,56.17665563,55.99422486,0.033,53,1,Coastal Mediterranean,37,Ras,NA,NA,65,NA,NA,NA,NA,NA,NA,65,65,65,65,13,NA,3.078942238,-9.41391591,-6.334973672,-3.153684542,4.445150011,8.953373815,0.010686643,-1.611066707,0,0.714422047
PI119925,PI119925,PI119925,31,30,HR631S,84,35,19,Coastal Mediterranean,turquoise,51,17.88161991,54.87598152,54.64275451,0.018,12,1,Coastal Mediterranean,23,Ras,65,93,65,34,34,34,60,60,60,63.4,63,70.75,52.38,11.4,52.38,0.728010554,-10.15863953,-9.430628975,-2.289602803,1.145660537,-70.58040049,0.005055717,-0.874621816,-0.575888344,0.03942623
PI39590,PI039590,PI039590,21,20,HR621S,79,34,20,Coastal Mediterranean,turquoise,52,15.5163597,52.15275149,51.40922039,0.035,59,1,Coastal Mediterranean,42,Ras,63,89,59,34,34,34,49,58,53.5,59.7,60,66.13,50.06,7.7,50.06,0.534972028,-5.231791682,-4.696819654,-1.98861068,1.102130256,-107.7659303,0.003897265,-0.338832349,-0.562880162,0.016660124
CIho2367,CIho02367,CIho02367,2,2,HR602S,76,33,21,Coastal Mediterranean,turquoise,69,16.35737523,51.75692509,50.2421279,0.032,48,1,Coastal Mediterranean,28,Ras,65,65,62,23,41,32,60,60,60,56.8,57,63,47.5,4.8,47.5,3.503128902,-10.79396038,-7.290831475,-2.47200621,1.824662828,-121.5259866,0.006446115,-0.777253938,0.12981822,0.45715727
PI94875,PI094875,PI094875,30,29,HR630S,75,32,22,Coastal Mediterranean,turquoise,51,21.93867764,54.9786004,54.6756744,0.033,52,1,Coastal Mediterranean,36,Ras,65,61,61,34,34,34,56,59,57.5,55.7,56,61.13,47.56,3.7,47.56,2.012360212,-5.816568414,-3.804208202,-3.140620506,7.068356186,7.861552177,0.022195727,-2.318679919,-1.726687426,0.809597116
PI48133,PI048133,PI048133,22,21,HR622S,67,31,23,Coastal Mediterranean,turquoise,58,14.88577036,52.43678232,52.65579434,0.033,51,1,Coastal Mediterranean,35,Ras,61,58,58,27,34,30.5,49,52,50.5,51.6,52,56.88,43.69,-0.4,43.69,2.95174736,-6.020703447,-3.068956087,-3.92155279,1.496194635,-108.6894481,0.004472088,-0.782647006,0,0.162338561
CIho6020,CIho06020,CIho06020,7,7,HR607S,64,30,24,Coastal Mediterranean,turquoise,64,18.30765671,54.33895152,54.90617909,0.034,57,1,Coastal Mediterranean,39,Ras,60,54,59,33,34,33.5,48,51,49.5,51.2,51,55.63,44.56,-0.8,44.56,2.637026461,-9.298922244,-6.661895783,-1.459972055,2.171724101,-57.34597618,0.004197626,-1.091419741,-0.747389465,1.104447634
CIho4264,CIho04264,CIho04264,6,6,HR606S,63,29,25,Coastal Mediterranean,turquoise,54,23.35581702,54.03453865,52.51289695,0.032,47,1,Coastal Mediterranean,29,Ras,63,NA,59,34,13,23.5,69,46,57.5,50.75,51,59.83,41.67,-1.25,41.67,3.653038479,-8.356423853,-4.703385374,-2.769886771,4.71875038,-3.444268151,0.009753397,-1.086611842,0.5489382,0.242662452
PI270692,PI270692,PI270692,43,42,HR643S,62,28,26,Coastal Mediterranean,turquoise,61,25.06667432,54.71319602,54.36187831,0.033,50,1,Coastal Mediterranean,38,Ras,63,54,60,25,26,25.5,50,52,51,50.7,51,57,41.25,-1.3,41.25,3.300319689,-8.592979086,-5.292659397,-2.06761234,6.812694716,25.87805398,0.012252524,-1.330661662,0,1.377011193
PI447100,PI447100,PI447100,73,69,HR673S,41,27,27,Coastal Mediterranean,turquoise,56,22.20925574,54.26679095,53.69440192,0.032,46,1,Coastal Mediterranean,33,Ras,59,54,59,17,18,17.5,46,49,47.5,47.4,47,54.88,36.19,-4.6,36.19,0.77000443,-12.18544026,-11.41543583,-3.299350499,3.446862407,-99.63489315,0.012963766,-1.111498883,0,-0.391839403
PI328485,PI328485,PI328485,53,49,HR653S,37,26,28,Coastal Mediterranean,turquoise,55,17.59309622,52.43597052,51.41987035,0.034,55,1,Coastal Mediterranean,40,Ras,60,NA,55,25,26,25.5,50,46,48,47.13,47,54.33,39.92,-4.87,39.92,10.61473358,-4.870010155,5.744723428,-2.343660811,3.347059277,-8.2723466,0.00598084,-0.44797238,-0.447042139,0.276720594
PI356719,PI356719,PI356719,57,53,HR657S,36,25,29,Coastal Mediterranean,turquoise,41,17.08839223,52.4407352,52.96895928,0.032,45,1,Coastal Mediterranean,32,Ras,58,49,55,25,26,25.5,45,51,48,47.1,47,52.5,39,-4.9,39,0.006417769,-6.425531614,-6.419113845,-2.953836824,1.051734393,-100.8308705,0.004502951,-1.137696655,0,-0.007894259
PI327680_PI327716_PI327859,PI327680_PI327716_PI327859,PI327680,48,47,HR648S,33,24,30,Coastal Mediterranean,turquoise,114,14.6155487,52.62444278,52.10650371,0.025,29,1,Coastal Mediterranean,25,Alternative,57,54,58,17,20,18.5,47,45,46,46.8,47,53.63,36.56,-5.2,36.56,6.308897195,-4.707418236,1.601478959,-2.386942246,2.544155221,58.32166828,0.008569094,-0.233915282,-1.078505448,0
PI467733,PI467733,PI467733,75,71,HR675S,26,23,31,Coastal Mediterranean,turquoise,76,7.917632634,54.52634413,54.04269926,0.022,21,1,Coastal Mediterranean,24,Ras,56,54,57,16,16,16,46,46,46,45.8,46,53.25,34.63,-6.2,34.63,3.137501047,-1.048302724,2.089198323,-2.009127365,4.392675883,131.9516699,0.007563217,1.099760781,0.875300764,0
PI328577,PI328577,PI328577,54,50,HR654S,21,22,32,Coastal Mediterranean,turquoise,52,10.34659351,50.77897114,49.79529906,0.034,54,1,Coastal Mediterranean,41,Ras,56,51,53,20,23,21.5,46,45,45.5,45.4,45,51.38,36.44,-6.6,36.44,0.413950937,-2.922494304,-2.508543367,-1.725880137,2.782390117,-98.22351294,0.004166523,-1.177533187,-0.567767156,-0.620379864
PI328632,PI328632,PI328632,55,51,HR655S,16,21,33,Coastal Mediterranean,turquoise,34,11.54436294,52.27989354,52.15550608,0.037,63,1,Coastal Mediterranean,43,Ras,56,51,53,16,20,18,44,44,44,44.4,44,51,34.5,-7.6,34.5,0.203349712,-5.448121368,-5.244771656,-1.718232338,0.851692664,-105.5102068,0.00272329,-1.058494175,-0.839846576,-0.094183872
PI320217,PI320217,PI320217,47,46,HR647S,13,20,34,Coastal Mediterranean,turquoise,47,17.0337732,50.56206078,48.55699228,0.032,44,1,Coastal Mediterranean,31,Ras,52,47,51,22,23,22.5,44,43,43.5,43.2,43,48.38,35.44,-8.8,35.44,3.411212357,-7.403590372,-3.992378015,-2.001064929,1.278015698,-55.92967888,0.003754073,-0.704025826,0.922668844,0.125695105
CIho15349,CIho15349,CIho15349,18,18,HR618S,2,19,35,Coastal Mediterranean,turquoise,70,12.94254587,51.74369661,52.28801328,0.032,43,1,Coastal Mediterranean,30,Ras,51,47,49,16,17,16.5,43,43,43,41.3,41,47.5,32,-10.7,32,2.548249642,-7.224209813,-4.675960171,-2.53245581,2.718973981,-155.1866136,0.007998051,-0.450329796,0.336455807,-0.481842574
CIho14052,CIho14052,CIho14052,12,12,HR612S,1,18,36,Coastal Mediterranean,turquoise,68,11.56956316,50.05121184,50.15440112,0.033,49,1,Coastal Mediterranean,34,Ras,50,44,51,16,16,16,43,43,43,40.8,41,47,31.5,-11.2,31.5,2.572448556,-4.335967461,-1.763518905,-3.700734034,1.891513895,-108.4651146,0.005283675,-0.569985454,0.703364688,-0.347029875
CIho13743,CIho13743,CIho13743,11,11,HR611S,87,44,37,East African,red,61,7.375338044,56.55970088,56.01499665,0.037,68,5,East African,47,Ras,NA,70,73,NA,NA,NA,NA,NA,NA,71.5,72,71.5,71.5,19.5,NA,10.44331647,-0.118973831,10.32434264,-0.72352022,2.98033787,162.9057869,0.006186107,1.246200418,1.70315298,-0.216787192
PI382860,PI382860,PI382860,60,56,HR660S,85,43,38,East African,red,42,9.792333263,57.24616269,57.12389066,0.036,61,5,East African,46,Ras,NA,77,74,35,37,36,70,67,68.5,63.88,64,73.17,54.58,11.88,54.58,7.630945318,-0.127583046,7.503362272,-0.575538853,1.70959113,138.036881,0.003386808,1.173980974,0.962859611,1.082957235
CIho14881,CIho14881,CIho14881,17,17,HR617S,83,42,39,East African,red,60,7.992257269,57.51370725,57.59745069,0.003,1,5,East African,44,Ras,57,79,72,37,44,40.5,NA,NA,NA,62.13,62,69.33,54.92,10.13,54.92,12.67536545,-0.908637439,11.76672801,-4.855404114,3.462771573,180.9411252,0.015368965,1.212293697,1.289695815,-0.381975575
PI386650,PI386650,PI386650,61,57,HR661S,80,41,40,East African,red,47,4.508877296,58.59726175,58.61587513,0.037,66,5,East African,50,Ras,NA,75,74,36,41,38.5,59,50,54.5,60.5,61,67.83,53.17,8.5,53.17,7.527095758,-0.042831278,7.48426448,-1.486550392,1.572847158,112.718901,0.003130088,1.383286902,1.030939975,0.174507102
PI298708,PI298708,PI298708,46,45,HR646S,72,40,41,East African,red,44,4.525609438,56.70275402,56.79494169,0.037,65,5,East African,49,Ras,62,65,62,25,27,26,54,52,53,53.6,54,60.5,43.25,1.6,43.25,8.997302966,-0.491953396,8.50534957,-0.621552746,1.974697388,99.85145282,0.003564119,1.497195828,1.317240002,0.412715705
